,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
1370,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 177보9342,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190382&gubun=I,2022.02,"11,800 km",가솔린 하이브리드,"1,991 cc (320마력)",진청색 (노빅 블루),"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1371,벤츠  10세대  E220 d 4매틱 아방가르드???,차량번호 01도1566,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205004&gubun=I,2018.08,"120,000 km",디젤,"1,950 cc (194마력)",은색,불가,"2,890만원",40,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1372,벤츠  10세대  E450 4매틱 카브리올레 -???,차량번호 307부9977,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198674&gubun=I,2021.03,"16,000 km",가솔린,"2,999 cc (367마력)",기타색상,"36개월 / 100,000km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
1373,벤츠  9세대  E350 4매틱 -???,차량번호 50고1889,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204439&gubun=I,2012.07,"158,000 km",가솔린,"3,498 cc (306마력)",검정색,불가,950만원,10,무,유,유,유,무,유,무,유,무,유,등록,,,,,,,,,
1374,벤츠  9세대  E200 CGI 아방가르드???,차량번호 54너4314,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203104&gubun=I,2010.09,"133,000 km",가솔린,"1,796 cc (184마력)",은색,불가,790만원,12,유,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
1375,벤츠  9세대  E300 엘레강스???,차량번호 31두2042,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202771&gubun=I,2010.12?(11년형),"117,000 km",가솔린,"3,498 cc (231마력)",은색,불가,850만원,12,유,무,유,유,무,유,무,유,무,유,등록,,,,,,,,,
1376,벤츠  10세대  E350 4매틱 익스클루시브???,차량번호 112부1940,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204212&gubun=I,2023.00,99 km,가솔린,"1,991 cc (299마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1377,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 189오5659,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181148&gubun=I,2020.05,"41,800 km",가솔린 하이브리드,"1,991 cc (320마력)",흰색,만료,"5,650만원",67,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1378,벤츠  10세대  E450 4매틱 카브리올레 -???,차량번호 06무2442,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187267&gubun=I,2019.07,"54,300 km",가솔린,"2,996 cc (367마력)",흰색,불가,[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
1379,벤츠  10세대  E53 AMG 4매틱+ -???,차량번호 353거4878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168044&gubun=I,2021.05,"10,000 km",가솔린,"2,999 cc (435마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1380,벤츠  10세대  E250 아방가르드???,차량번호 304더8889,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203257&gubun=I,2019.12?(20년형),"31,000 km",가솔린,"1,991 cc (211마력)",흰색,만료,[가격상담],준비중,유,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
1381,벤츠  10세대  E220 d 아방가르드???,차량번호 391마3238,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204135&gubun=I,2019.10,"39,000 km",디젤,"1,950 cc (194마력)",흰색,불가,[가격상담],준비중,유,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
1382,벤츠  10세대  E350 4매틱 AMG 라인???,차량번호 107고8863,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202241&gubun=I,2020.11?(21년형),"16,900 km",가솔린,"1,991 cc (299마력)",청색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1383,벤츠  10세대  E350 4매틱 AMG 라인???,차량번호 141도7387,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205183&gubun=I,2021.04,"23,450 km",가솔린,"1,991 cc (299마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1384,벤츠  10세대  E350 4매틱 AMG 라인 에디션???,차량번호 307보5262,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181972&gubun=I,2020.12?(21년형),"8,200 km",가솔린,"1,991 cc (299마력)",청색,"36개월 / 100,000km","6,500만원",77,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1385,벤츠  9세대  E300 엘레강스??,차량번호 68소8834,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179720&gubun=I,2015.08?(16년형),"105,000 km",가솔린,"3,498 cc (252마력)",은색,불가,"2,500만원",37,유,무,유,유,무,유,무,유,무,유,미등록,,,,,,,,,
1386,벤츠  10세대  E300 아방가르드???,차량번호 166모3153,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2195467&gubun=I,2019.06,"50,498 km",가솔린,"1,991 cc (245마력)",검정색,불가,"3,790만원",59,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1387,벤츠  10세대  E250 AMG 라인???,차량번호 106무8758,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204523&gubun=I,2022.12?(23년형),"10,326 km",가솔린,"1,991 cc (211마력)",검정색,불가,"6,590만원",86,유,무,유,유,유,유,무,유,유,유,등록,,,,,,,,,
1388,벤츠  10세대  E450 4매틱 익스클루시브???,차량번호 312나7759,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187239&gubun=I,2020.04,"52,000 km",가솔린,"2,996 cc (367마력)",흰색,만료,[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1389,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 378조2633,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202914&gubun=I,2020.09,"20,000 km",가솔린 하이브리드,"1,991 cc (320마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1390,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 177보9342,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190382&gubun=I,2022.02,"11,800 km",가솔린 하이브리드,"1,991 cc (320마력)",진청색 (노빅 블루),"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1391,벤츠  10세대  E220 d 4매틱 아방가르드???,차량번호 01도1566,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205004&gubun=I,2018.08,"120,000 km",디젤,"1,950 cc (194마력)",은색,불가,"2,890만원",40,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1392,벤츠  10세대  E450 4매틱 카브리올레 -???,차량번호 307부9977,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198674&gubun=I,2021.03,"16,000 km",가솔린,"2,999 cc (367마력)",기타색상,"36개월 / 100,000km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
1393,벤츠  9세대  E350 4매틱 -???,차량번호 50고1889,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204439&gubun=I,2012.07,"158,000 km",가솔린,"3,498 cc (306마력)",검정색,불가,950만원,10,무,유,유,유,무,유,무,유,무,유,등록,,,,,,,,,
1394,벤츠  9세대  E200 CGI 아방가르드???,차량번호 54너4314,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203104&gubun=I,2010.09,"133,000 km",가솔린,"1,796 cc (184마력)",은색,불가,790만원,12,유,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
1395,벤츠  9세대  E300 엘레강스???,차량번호 31두2042,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202771&gubun=I,2010.12?(11년형),"117,000 km",가솔린,"3,498 cc (231마력)",은색,불가,850만원,12,유,무,유,유,무,유,무,유,무,유,등록,,,,,,,,,
1396,벤츠  10세대  E350 4매틱 익스클루시브???,차량번호 112부1940,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204212&gubun=I,2023.00,99 km,가솔린,"1,991 cc (299마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1397,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 189오5659,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181148&gubun=I,2020.05,"41,800 km",가솔린 하이브리드,"1,991 cc (320마력)",흰색,만료,"5,650만원",67,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1398,벤츠  10세대  E450 4매틱 카브리올레 -???,차량번호 06무2442,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187267&gubun=I,2019.07,"54,300 km",가솔린,"2,996 cc (367마력)",흰색,불가,[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
1399,벤츠  10세대  E53 AMG 4매틱+ -???,차량번호 353거4878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168044&gubun=I,2021.05,"10,000 km",가솔린,"2,999 cc (435마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1400,벤츠  10세대  E250 아방가르드???,차량번호 304더8889,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203257&gubun=I,2019.12?(20년형),"31,000 km",가솔린,"1,991 cc (211마력)",흰색,만료,[가격상담],준비중,유,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
1401,벤츠  10세대  E220 d 아방가르드???,차량번호 391마3238,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204135&gubun=I,2019.10,"39,000 km",디젤,"1,950 cc (194마력)",흰색,불가,[가격상담],준비중,유,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
1402,벤츠  10세대  E350 4매틱 AMG 라인???,차량번호 107고8863,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202241&gubun=I,2020.11?(21년형),"16,900 km",가솔린,"1,991 cc (299마력)",청색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1403,벤츠  10세대  E350 4매틱 AMG 라인???,차량번호 141도7387,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205183&gubun=I,2021.04,"23,450 km",가솔린,"1,991 cc (299마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1404,벤츠  9세대 E200 쿠페 ,차량번호 327노9952,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205384&gubun=I,2012.09?(13년형),"234,132,513 km",디젤,"2,143 cc (184마력)",연금색,불가,"132,131만원",2138,,,,,,,,,,,등록,,,,,,,,,
1405,벤츠  10세대  E350 4매틱 AMG 라인 에디션???,차량번호 307보5262,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181972&gubun=I,2020.12?(21년형),"8,200 km",가솔린,"1,991 cc (299마력)",청색,"36개월 / 100,000km","6,500만원",77,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1406,벤츠  9세대  E300 엘레강스??,차량번호 68소8834,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179720&gubun=I,2015.08?(16년형),"105,000 km",가솔린,"3,498 cc (252마력)",은색,불가,"2,500만원",37,유,무,유,유,무,유,무,유,무,유,미등록,,,,,,,,,
1407,벤츠  10세대  E300 아방가르드???,차량번호 166모3153,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2195467&gubun=I,2019.06,"50,498 km",가솔린,"1,991 cc (245마력)",검정색,불가,"3,790만원",59,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1408,벤츠  10세대  E250 AMG 라인???,차량번호 106무8758,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204523&gubun=I,2022.12?(23년형),"10,326 km",가솔린,"1,991 cc (211마력)",검정색,불가,"6,590만원",86,유,무,유,유,유,유,무,유,유,유,등록,,,,,,,,,
1409,벤츠  10세대  E450 4매틱 익스클루시브???,차량번호 312나7759,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187239&gubun=I,2020.04,"52,000 km",가솔린,"2,996 cc (367마력)",흰색,만료,[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1410,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 378조2633,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202914&gubun=I,2020.09,"20,000 km",가솔린 하이브리드,"1,991 cc (320마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1411,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 177보9342,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190382&gubun=I,2022.02,"11,800 km",가솔린 하이브리드,"1,991 cc (320마력)",진청색 (노빅 블루),"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1412,벤츠  10세대  E220 d 4매틱 아방가르드???,차량번호 01도1566,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205004&gubun=I,2018.08,"120,000 km",디젤,"1,950 cc (194마력)",은색,불가,"2,890만원",40,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1413,벤츠  10세대  E450 4매틱 카브리올레 -???,차량번호 307부9977,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198674&gubun=I,2021.03,"16,000 km",가솔린,"2,999 cc (367마력)",기타색상,"36개월 / 100,000km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
1414,벤츠  9세대  E350 4매틱 -???,차량번호 50고1889,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204439&gubun=I,2012.07,"158,000 km",가솔린,"3,498 cc (306마력)",검정색,불가,950만원,10,무,유,유,유,무,유,무,유,무,유,등록,,,,,,,,,
1415,벤츠  9세대  E200 CGI 아방가르드???,차량번호 54너4314,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203104&gubun=I,2010.09,"133,000 km",가솔린,"1,796 cc (184마력)",은색,불가,790만원,12,유,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
1416,벤츠  9세대  E300 엘레강스???,차량번호 31두2042,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202771&gubun=I,2010.12?(11년형),"117,000 km",가솔린,"3,498 cc (231마력)",은색,불가,850만원,12,유,무,유,유,무,유,무,유,무,유,등록,,,,,,,,,
1417,벤츠  10세대  E350 4매틱 익스클루시브???,차량번호 112부1940,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204212&gubun=I,2023.00,99 km,가솔린,"1,991 cc (299마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1418,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 189오5659,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181148&gubun=I,2020.05,"41,800 km",가솔린 하이브리드,"1,991 cc (320마력)",흰색,만료,"5,650만원",67,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1419,벤츠  10세대  E450 4매틱 카브리올레 -???,차량번호 06무2442,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187267&gubun=I,2019.07,"54,300 km",가솔린,"2,996 cc (367마력)",흰색,불가,[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
1420,벤츠  10세대  E53 AMG 4매틱+ -???,차량번호 353거4878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168044&gubun=I,2021.05,"10,000 km",가솔린,"2,999 cc (435마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1421,벤츠  10세대  E250 아방가르드???,차량번호 304더8889,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203257&gubun=I,2019.12?(20년형),"31,000 km",가솔린,"1,991 cc (211마력)",흰색,만료,[가격상담],준비중,유,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
1422,벤츠  10세대  E220 d 아방가르드???,차량번호 391마3238,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204135&gubun=I,2019.10,"39,000 km",디젤,"1,950 cc (194마력)",흰색,불가,[가격상담],준비중,유,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
1423,벤츠  10세대  E350 4매틱 AMG 라인???,차량번호 107고8863,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202241&gubun=I,2020.11?(21년형),"16,900 km",가솔린,"1,991 cc (299마력)",청색,"36개월 / 100,000km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1424,벤츠  9세대 E200 쿠페 ,차량번호 327노9952,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205384&gubun=I,2012.09?(13년형),"234,132,513 km",디젤,"2,143 cc (184마력)",연금색,불가,"132,131만원",2138,,,,,,,,,,,등록,,,,,,,,,
1425,벤츠  10세대  E350 4매틱 AMG 라인 에디션???,차량번호 307보5262,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181972&gubun=I,2020.12?(21년형),"8,200 km",가솔린,"1,991 cc (299마력)",청색,"36개월 / 100,000km","6,500만원",77,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1426,벤츠  9세대  E300 엘레강스??,차량번호 68소8834,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179720&gubun=I,2015.08?(16년형),"105,000 km",가솔린,"3,498 cc (252마력)",은색,불가,"2,500만원",37,유,무,유,유,무,유,무,유,무,유,미등록,,,,,,,,,
1427,벤츠  10세대  E300 아방가르드???,차량번호 166모3153,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2195467&gubun=I,2019.06,"50,498 km",가솔린,"1,991 cc (245마력)",검정색,불가,"3,790만원",59,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1428,벤츠  10세대  E250 AMG 라인???,차량번호 106무8758,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204523&gubun=I,2022.12?(23년형),"10,326 km",가솔린,"1,991 cc (211마력)",검정색,불가,"6,590만원",86,유,무,유,유,유,유,무,유,유,유,등록,,,,,,,,,
1429,벤츠  10세대  E450 4매틱 익스클루시브???,차량번호 312나7759,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187239&gubun=I,2020.04,"52,000 km",가솔린,"2,996 cc (367마력)",흰색,만료,[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1430,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 378조2633,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202914&gubun=I,2020.09,"20,000 km",가솔린 하이브리드,"1,991 cc (320마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1431,벤츠  10세대  E300e 4매틱 익스클루시브???,차량번호 177보9342,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190382&gubun=I,2022.02,"11,800 km",가솔린 하이브리드,"1,991 cc (320마력)",진청색 (노빅 블루),"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1432,벤츠  10세대  E220 d 4매틱 아방가르드???,차량번호 01도1566,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205004&gubun=I,2018.08,"120,000 km",디젤,"1,950 cc (194마력)",은색,불가,"2,890만원",40,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1433,벤츠  10세대  E450 4매틱 카브리올레 -???,차량번호 307부9977,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198674&gubun=I,2021.03,"16,000 km",가솔린,"2,999 cc (367마력)",기타색상,"36개월 / 100,000km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
1434,벤츠  9세대  E350 4매틱 -???,차량번호 50고1889,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204439&gubun=I,2012.07,"158,000 km",가솔린,"3,498 cc (306마력)",검정색,불가,950만원,10,무,유,유,유,무,유,무,유,무,유,등록,,,,,,,,,
